城市,半径(m),健壮性R(节点比例),攻击次数(至LCC<0.5%),节点数
Shenyang,0,0.1275,4021,13000
Shenyang,500,0.3813,1049,13000
Shenyang,1000,0.4292,626,13000
Shenyang,2000,0.4618,346,13000
Shenyang,5000,0.4772,110,13000
Dalian,0,0.0871,3613,13605
Dalian,500,0.3002,1201,13605
Dalian,1000,0.3418,757,13605
Dalian,2000,0.3732,449,13605
Dalian,5000,0.4031,129,13605
Zhengzhou,0,0.1214,2648,9162
Zhengzhou,500,0.308,786,9162
Zhengzhou,1000,0.3772,440,9162
Zhengzhou,2000,0.4426,227,9162
Zhengzhou,5000,0.4601,71,9162
Qingdao,0,0.1066,3881,13894
Qingdao,500,0.3365,1126,13894
Qingdao,1000,0.4017,665,13894
Qingdao,2000,0.4285,360,13894
Qingdao,5000,0.4602,107,13894
Harbin,0,0.1183,3020,10727
Harbin,500,0.3106,808,10727
Harbin,1000,0.3698,449,10727
Harbin,2000,0.3856,229,10727
Harbin,5000,0.4105,103,10727
Dongguan,0,0.1057,2256,8315
Dongguan,500,0.3206,675,8315
Dongguan,1000,0.3484,370,8315
Dongguan,2000,0.36,179,8315
Dongguan,5000,0.3861,44,8315
Chengdu,0,0.1097,5207,18300
Chengdu,500,0.339,1332,18300
Chengdu,1000,0.402,685,18300
Chengdu,2000,0.4356,339,18300
Chengdu,5000,0.4228,97,18300
Quanzhou,0,0.1025,1505,5672
Quanzhou,500,0.2574,529,5672
Quanzhou,1000,0.2669,358,5672
Quanzhou,2000,0.3016,216,5672
Quanzhou,5000,0.3645,93,5672
